od_pair,count
ENBR-ENGM,4619
ENGM-ENBR,4497
LEBL-LEPA,4369
LEPA-LEBL,4297
LEMD-LPPT,3730
ENZV-ENGM,3505
EIDW-EGLL,3501
LEPA-LEMD,3479
ENGM-EKCH,3479
LEBL-LEMD,3474
EKCH-ENGM,3459
ENGM-ENZV,3413
LPPT-LEMD,3380
LEMD-LEPA,3377
LEMD-LEBL,3292
EGLL-EHAM,3162
EHAM-EGLL,3147
EGLL-EIDW,3072
EDDF-EGLL,3063
LFPO-LPPT,2964
EKCH-ESSA,2946
LFPO-LFMN,2922
ESSA-EKCH,2916
ESSA-ENGM,2860
LEPA-LEIB,2846
ENGM-ESSA,2840
EKCH-EHAM,2810
EHAM-EKCH,2803
EHAM-LEBL,2786
LEBL-LEIB,2782
LEBL-LIRF,2779
LEBL-EHAM,2768
EFHK-ESSA,2744
LPPT-LFPO,2724
EGLL-EDDF,2721
LEIB-LEPA,2719
LIRF-LEMD,2706
EKCH-EKYT,2697
EIDW-EHAM,2692
EHAM-EIDW,2692
EKYT-EKCH,2691
EDDL-EDDM,2689
EDDF-EDDB,2675
EDDB-EDDF,2662
LFPO-LFBO,2661
ESSA-EFHK,2638
LIRF-LEBL,2624
EDDL-LEPA,2590
LEPA-EDDL,2526
EDDM-EDDH,2524
EDDM-EDDL,2515
LFBO-LFPO,2511
LEMD-LIRF,2497
LOWW-EDDF,2483
LFPO-LEMD,2467
EDDF-EDDM,2457
EDDF-LOWW,2444
EDDF-EDDH,2434
EDDM-EGLL,2428
EGCC-EIDW,2395
EGLL-LFPG,2390
EIDW-EGCC,2379
LEMD-LFPO,2376
LEMD-EGLL,2365
LEBL-LPPT,2353
EHAM-LFPG,2352
LFPG-EGLL,2338
EGLL-EDDM,2332
LFPO-LPPR,2319
EGKK-LEBL,2318
EDDM-EDDF,2316
LEIB-LEBL,2315
LIRF-LIML,2295
LFPG-EHAM,2281
LSZH-EGLL,2276
EDDF-LFPG,2263
EGLL-LEMD,2261
EGKK-EIDW,2251
ENZV-ENBR,2250
EDDB-EDDM,2249
LPPT-LEBL,2245
LPPR-LFPO,2244
EGLL-LSGG,2241
LSGG-EGLL,2217
LEMD-LPPR,2210
EDDM-EDDB,2206
LFPG-LFMN,2203
EDDF-EHAM,2198
EGLL-LSZH,2197
EHAM-EDDM,2190
LEBL-LFPG,2172
ENBR-ENZV,2171
EGKK-LEMG,2168
EDDH-EDDM,2167
EHAM-EDDF,2149
LFPG-EDDF,2148
LFPG-LEBL,2147
LPPT-LPPR,2129
EGLL-LPPT,2117
EHAM-EGCC,2114
EGLL-EGPH,2108
EGCC-EHAM,2085
LPPR-LEMD,2085
EHAM-LPPT,2083
LFPG-LIMC,2065
LPPT-EGLL,2062
LPPR-LPPT,2056
EHAM-EGLC,2053
EDDM-EHAM,2039
LFPG-EDDM,2008
LIML-LIRF,1992
LPPT-EHAM,1991
EHAM-LSZH,1966
LSZH-EHAM,1962
ESSA-ESPA,1959
EDDH-EDDF,1949
EDDB-EHAM,1941
EDDM-LFPG,1941
EKCH-EGLL,1941
EIDW-EGPH,1938
LIMC-LFPG,1935
ENGM-ENVA,1932
EHAM-EDDB,1927
ENVA-ENGM,1924
EKCH-LFPG,1920
LEMD-EBBR,1916
EGLL-EKCH,1911
EBBR-LEMD,1911
LEBL-LIMC,1906
ENBO-ENGM,1902
LTFJ-LTFE,1900
LIRF-LFPG,1880
LFPG-EKCH,1873
EGBB-EIDW,1861
LTFJ-LCEN,1860
LEPA-EDDK,1857
LEMD-LEIB,1856
EIDW-EGBB,1855
LLBG-LTFM,1854
EGKK-LPFR,1851
EDDK-LEPA,1842
ENGM-ENBO,1839
LFPO-LIRF,1832
EHAM-LEMD,1827
LCEN-LTFJ,1826
LFPG-LEMD,1823
LFPG-LIRF,1816
LEPA-EDDH,1815
EDDH-LEPA,1799
LIMC-LEBL,1797
LSZH-EDDF,1795
ESSA-EGLL,1792
EDDF-LSZH,1791
EDDF-LEMD,1790
LEIB-LEMD,1782
LIRF-LFPO,1781
LGAV-LGTS,1775
EGLL-ESSA,1767
LIML-LFPG,1766
EHAM-ENGM,1751
LFPG-LIML,1744
LEBL-EGKK,1725
LFBO-LFPG,1723
LFML-LFPG,1722
EIDW-EGSS,1718
LEMD-EHAM,1711
LEMD-LFPG,1710
LFPO-LEBL,1709
LOWW-EHAM,1708
EHAM-ESSA,1704
LEBL-LEMH,1695
ENGM-EHAM,1694
ESSA-EHAM,1693
EIDW-LFPG,1691
LGTS-LGAV,1686
LOWW-LFPG,1683
EGSS-EIDW,1678
EDDM-LEMD,1677
LEMD-EDDF,1676
LEMD-EDDM,1671
EDDB-LSZH,1669
EHAM-LOWW,1665
LSZH-EDDB,1662
EIDW-EGKK,1652
LFPG-LFBO,1651
LEPA-LSZH,1647
LEBL-LFPO,1644
LEBL-LEZL,1633
LSZH-LEPA,1630
LFPG-LOWW,1627
EGLL-EGPF,1626
LEPA-EDDM,1622
LFPG-EIDW,1619
EETN-EFHK,1614
EDDF-EBBR,1614
LTFM-LTFE,1613
LFPG-LTFM,1612
LFMN-LFPO,1611
EFHK-EETN,1611
EGLC-EHAM,1610
LTFM-LLBG,1609
EPWA-EHAM,1599
LTFM-EGLL,1598
EGPF-EGLL,1596
LPPR-LSGG,1594
EHAM-EPWA,1589
LEMD-LECO,1587
LSGG-LPPR,1581
ESPA-ESSA,1580
EGPH-EIDW,1579
EGCC-LEPA,1575
LOWW-EGLL,1574
EHAM-LSGG,1572
EDDB-LEPA,1571
LTFJ-LTCG,1568
EKCH-EFHK,1568
LOWW-LSZH,1563
LECO-LEMD,1562
EFHK-EKCH,1561
LEZL-LEBL,1555
EFHK-EFOU,1548
LEPA-EDDB,1548
LEPA-EDDF,1548
LEPA-EGCC,1548
LSGG-EHAM,1546
LSGG-LFPG,1544
EDDM-LEPA,1543
EDDF-LTFM,1540
EDDK-EDDM,1539
LSZH-LOWW,1539
EGLL-LEBL,1536
EDDB-LFPG,1535
EGLL-LTFM,1532
LEBL-EDDM,1529
LTFM-LFPG,1528
LEBL-LEMG,1527
LFPG-LSGG,1522
EDDF-LEPA,1518
LFPG-EDDB,1517
LEBL-EGLL,1514
LEPA-LEMH,1509
LEBL-EBBR,1507
EDDL-EGLL,1501
EGLL-ENGM,1491
EGCC-LEAL,1482
LEAL-EGCC,1476
LFPG-LFML,1475
ENGM-EGLL,1473
EDDM-EDDK,1469
EGLL-EDDL,1467
EFOU-EFHK,1465
LOWW-EDDB,1465
EGPH-EGLL,1462
LSZH-EDDH,1460
LEBL-EDDF,1458
EGKK-EHAM,1457
EDDH-LSZH,1453
EDDF-LEBL,1453
EDDM-LEBL,1453
LEMD-LEMG,1449
EGSS-EGPH,1448
LTFM-EDDF,1438
EDDB-LOWW,1435
EDDF-LIML,1434
LTCG-LTFJ,1432
EGLL-LIRF,1430
LLBG-LCLK,1430
EHAM-LIML,1426
LFPG-LIPZ,1424
EGKK-LEAL,1423
ESSA-ESGG,1422
LIPZ-LFPG,1421
LIML-EDDF,1409
EBBR-LEBL,1405
LIRF-EGLL,1404
ESGG-ESSA,1403
LIML-EHAM,1398
EGLL-LOWW,1396
EHAM-EGGD,1391
EPWA-LFPG,1388
LSGG-LPPT,1388
EGKK-LEPA,1385
LFPG-DAAG,1385
EGSS-EGAA,1381
LSGG-LSZH,1381
LFPG-LFBD,1380
EIDW-EGPF,1375
EGGD-EHAM,1371
EIDW-LPFR,1368
LGAV-LCLK,1364
LIMC-LEMD,1360
LIRF-LICJ,1360
LFPG-LSZH,1360
LPFR-EGKK,1357
EGCC-LFPG,1355
LFPG-EGCC,1354
LFPG-EPWA,1350
EDDP-EDDF,1349
LSZH-LFPG,1348
EGPF-EIDW,1345
LPPT-LSGG,1345
EBBR-EGLL,1344
EGLL-LFMN,1343
EDDF-EDDP,1338
EHAM-LEMG,1337
EHAM-LIRF,1337
LPFR-EIDW,1332
LTFJ-EGSS,1332
EPWA-EDDF,1330
LFBD-LFPG,1330
EDDF-EPWA,1329
EDDF-LSGG,1325
LSGG-EDDF,1320
EHAM-LKPR,1319
LOWW-EDDM,1318
LKPR-EHAM,1317
EDDF-LPPT,1315
EBBR-EKCH,1313
LCLK-LLBG,1309
LOWW-EPWA,1308
EGLL-EBBR,1306
EGCC-EGAA,1304
EHAM-EGKK,1303
LFPG-LGAV,1302
EGGP-EIDW,1301
EGAA-EGSS,1300
LIRF-EHAM,1299
LEBL-LSZH,1298
LSZH-LSGG,1297
EGGW-EHAM,1296
EDDM-LSZH,1293
LSZH-EDDM,1291
EIDW-EGGP,1289
LOWW-EDDL,1288
EPWA-EDDM,1286
EDDL-LOWW,1285
EGKK-LIRF,1280
EGKK-LFMN,1276
LSZH-LEBL,1275
DAAG-LFPG,1274
EIDW-LEMG,1272
EKCH-EDDM,1272
EGAA-EGCC,1270
EGLL-EDDH,1269
LOWW-EDDH,1269
LFMN-LFPG,1268
EHAM-EGGW,1268
EPKK-EPWA,1268
EPWA-EPKK,1267
EDDH-EGLL,1265
EGSS-LTFJ,1264
EDDF-EKCH,1263
LEMD-LSZH,1260
LSZH-LEMD,1259
EKCH-EBBR,1258
EKCH-EDDF,1257
EDDM-EBBR,1255
EHAM-EGBB,1250
LPPT-EDDF,1246
LCEN-LTFM,1245
EGBB-EHAM,1244
EDDF-EIDW,1242
LEPA-EDDS,1241
EDDL-LSZH,1238
LTCG-LTFM,1238
EPWA-LOWW,1236
EKCH-EKRN,1235
LOWW-LEBL,1235
EDDS-LEPA,1234
LTFM-LCEN,1231
EHAM-EGPH,1228
LFPG-LPPT,1227
LSZH-EDDL,1224
EGLL-LGAV,1223
EGAA-EGPH,1217
LEBL-LOWW,1216
LTFM-LTCG,1214
EIDW-EDDF,1212
LPPT-LFPG,1211
LLBG-LFPG,1206
EPWA-EPWR,1205
EBBR-EDDF,1204
EDDM-EPWA,1204
EGLL-LIML,1198
EDDM-EKCH,1195
EGGD-EIDW,1189
EIDW-EGGD,1189
ESSA-LFPG,1187
LEMG-EGKK,1183
LEBL-EIDW,1181
LPPR-LEBL,1177
EDDH-EHAM,1175
LOWW-EDDK,1174
EIDW-LEBL,1174
EDDF-LIRF,1174
EHAM-EDDH,1173
EPGD-EPWA,1171
LIML-EGLL,1170
EDDM-LOWW,1169
LSGG-EBBR,1164
LIRF-LGAV,1162
LOWW-EBBR,1161
EIDW-LPPT,1156
LEBL-LPPR,1155
EKCH-ENBR,1155
EGKK-EGJB,1154
EGKK-LEMD,1153
ENBR-EKCH,1149
EBBR-LPPT,1148
LPPT-EBBR,1147
LIRF-EDDF,1145
EGLL-EPWA,1145
LSZH-EGLC,1145
LPPT-LSZH,1145
LOWW-LEPA,1144
EDDS-EDDB,1142
LEMD-LIMC,1142
LPPT-EIDW,1141
LSGG-LEMD,1140
EDDV-EDDM,1139
LGAV-LFPG,1137
EGLL-EGAC,1136
EDDB-EKCH,1136
EDDB-EDDS,1135
EDDH-LOWW,1135
EPWA-EPGD,1134
EPWA-EGLL,1134
EGLL-EGCC,1134
LEMG-LEBL,1133
EGCC-EGLL,1133
LPPT-LIMC,1132
LFPG-ESSA,1132
LEMG-EHAM,1131
LIMC-LPPT,1131
LLBG-LTFJ,1131
LSZH-LPPT,1129
LEAL-EGKK,1128
LIRF-EBBR,1125
EGNX-EDDP,1125
