flight_id,real_waypoints,pass_times,speeds,alts,real_full_waypoints,full_pass_times,full_speeds,full_alts
000042HMJ225,INKIM LJLJ LMML MALTI,1680349300 1680364679 1680382679 1680382679,0.2321 0.1399 0.0000 0.0000,11521 1570 114 114,INKIM LJLJ LMML MALTI,1680349300 1680364679 1680382679 1680382679,0.2321 0.1399 0.0000 0.0000,11521 1570 114 114
010092MSR741,LAKTO BIRES_29 LCLK,1680362648 1680362759 1680364319,0.2708 0.2365 0.0000,9312 9312 434,LAKTO _MF6J1HdT BIRES_29 _MgIeEfts _bJVLVAhA _yxHW560M _2TwPX3IK _lYVzPlRM _Wjt97FHw LCLK,1680362648 1680362639 1680362759 1680363659 1680363779 1680363959 1680364079 1680364139 1680364319 1680364319,0.2708 0.2708 0.2365 0.1452 0.1359 0.1445 0.1058 0.0925 0.0000 0.0000,9312 9312 9312 2499 1608 937 663 488 434 434
010092MSR742,LCA SOBOS_91 SISIM,1680368182 1680368399 1680369839,0.1243 0.1648 0.0000,1265 3947 10257,LCA _TDyhe7PE _EhaHf4K2 SOBOS_91 _Z74cvhxb _4sUB0mpM SISIM,1680368182 1680368219 1680368279 1680368399 1680369719 1680369839 1680369839,0.1243 0.1243 0.1338 0.1648 0.1571 0.0000 0.0000,1265 1265 2019 3947 10249 10257 10257
010092MSR831,TANSA_98 METRU METRU_30 TOTTI LOTIN REXUN,1680335357 1680335219 1680335279 1680339179 1680339719 1680340199,0.2004 0.2004 0.2197 0.2102 0.2241 0.0000,11133 11133 11133 11217 10150 5197,TANSA_98 METRU METRU_30 TOTTI LOTIN _bs3fYMZv REXUN,1680335357 1680335219 1680335279 1680339179 1680339719 1680340199 1680340199,0.2004 0.2004 0.2197 0.2102 0.2241 0.0000 0.0000,11133 11133 11133 11217 10150 5197 5197
010092MSR832,ODGAX LUMED METRU_30,1680346619 1680347039 1680350699,0.2367 0.2639 0.0000,6568 8771 10851,ODGAX _0bKYrXD8 _2kVPBh5d LUMED _KwLOjVJW _2QGEudXW _ATu9zlaf METRU_30,1680346619 1680346619 1680346679 1680347039 1680350519 1680350639 1680350699 1680350699,0.2367 0.2367 0.2409 0.2639 0.2354 0.2515 0.0000 0.0000,6568 6568 6949 8771 10843 10866 10851 10851
0100A3MSR560,GUDIS NIPIS BABIT PILAM TANJO EDDK,1680318766 1680318839 1680325259 1680328619 1680329939 1680330119,0.2274 0.2258 0.2354 0.2353 0.0821 0.0630,12306 12306 12047 9571 968 389,GUDIS _KzANvTnA NIPIS BABIT PILAM _wjCG1AIG TANJO EDDK,1680318766 1680318779 1680318839 1680325259 1680328619 1680329519 1680329939 1680330119,0.2274 0.2274 0.2258 0.2354 0.2353 0.1605 0.0821 0.0630,12306 12306 12306 12047 9571 2926 968 389
0100A3MSR561,EDDK TANJO EDGB KAS_93 NIPIS GUDIS,1680340275 1680340439 1680340739 1680346739 1680349979 1680349979,0.0921 0.1782 0.2300 0.2565 0.0000 0.0000,785 3033 6622 11941 12047 12047,EDDK _LSpNE9ti TANJO EDGB KAS_93 NIPIS GUDIS,1680340275 1680340319 1680340439 1680340739 1680346739 1680349979 1680349979,0.0921 0.1408 0.1782 0.2300 0.2565 0.0000 0.0000,785 1326 3033 6622 11941 12047 12047
0100DDMSR703,TANSA_98 XANIS_29 LIMC,1680342064 1680344819 1680352199,0.2342 0.2070 0.0000,11727 11689 411,TANSA_98 _JfuMrgv3 _l1f66IZA XANIS_29 _TjuE1LQU _j9uCnoU0 _20Hlg4Su LIMC,1680342064 1680342119 1680342179 1680344819 1680351479 1680352019 1680352139 1680352199,0.2342 0.2342 0.2060 0.2070 0.1554 0.1039 0.0813 0.0000,11727 11727 11727 11689 4801 1265 671 411
0100DDMSR704,MMP LILN LABIN GUDIS,1680357736 1680357839 1680359279 1680365879,0.0953 0.1467 0.2583 0.0000,815 2080 10516 12024,MMP LILN LABIN _TEyfOv5V GUDIS,1680357736 1680357839 1680359279 1680365879 1680365879,0.0953 0.1467 0.2583 0.0000 0.0000,815 2080 10516 12024 12024
0100DDMSR728,WKL OPOKA LIZUP LZSK NIKTI GUDIS,1680313126 1680313919 1680315719 1680318179 1680322079 1680325439,0.2208 0.2205 0.2262 0.2166 0.2364 0.0000,10615 10607 10645 10721 11293 11392,WKL _ClFFLsDO _28l2SxDA OPOKA LIZUP LZSK NIKTI _7ySXVK9D GUDIS,1680313126 1680313139 1680313199 1680313919 1680315719 1680318179 1680322079 1680325439 1680325439,0.2208 0.2208 0.2202 0.2205 0.2262 0.2166 0.2364 0.0000 0.0000,10615 10615 10615 10607 10645 10721 11293 11392 11392
0100DEMSR542,USEBE KOMEZ EDASA LTFJ LTFM,1680360420 1680360479 1680363239 1680364199 1680365159,0.2264 0.2165 0.2120 0.1378 0.0000,11750 11742 11179 3536 945,USEBE _IzSghfH7 KOMEZ EDASA _CipewTbH LTFJ _iPeED0so _VsV9eWAR LTFM,1680360420 1680360419 1680360479 1680363239 1680364079 1680364199 1680364919 1680365159 1680365159,0.2264 0.2264 0.2165 0.2120 0.1365 0.1378 0.0883 0.0000 0.0000,11750 11750 11742 11179 3917 3536 1288 945 945
0100DEMSR543,FATIH RATVU AYT RASDA,1680371918 1680372779 1680374219 1680376019,0.1145 0.2463 0.2330 0.0000,1196 9205 11400 10866,FATIH _aD3ri4qv _g851L6MA _x81Yn9D2 _owbAsw2j _0cwaU1aY RATVU AYT _badik8xm RASDA,1680371918 1680371939 1680371999 1680372119 1680372419 1680372539 1680372779 1680374219 1680376019 1680376019,0.1145 0.1145 0.1222 0.1884 0.2428 0.2398 0.2463 0.2330 0.0000 0.0000,1196 1196 2134 3360 6523 7605 9205 11400 10866 10866
0100DFMSR862,SADIC ORSUP CHE AMAXI_85,1680308705 1680310499 1680312179 1680320459,0.2382 0.2406 0.2584 0.0000,7894 11095 11011 11422,SADIC ORSUP CHE _hHT5964z AMAXI_85,1680308705 1680310499 1680312179 1680320459 1680320459,0.2382 0.2406 0.2584 0.0000 0.0000,7894 11095 11011 11422 11422
0100F6AMV6183,TANSA_98 METRU BCN LEMD,1680337372 1680337259 1680348479 1680351659,0.2200 0.1855 0.1836 0.0000,11125 11125 11293 610,TANSA_98 _hFqM5V62 METRU _qLz9AEqp BCN _LGYEsh0g LEMD,1680337372 1680337199 1680337259 1680346499 1680348479 1680351599 1680351659,0.2200 0.2200 0.1855 0.1883 0.1836 0.0842 0.0000,11125 11125 11125 11582 11293 869 610
0100F6AMV6184,LETO PONEN BCN OSPOK SUTAD_80 SALUN METRU_30,1680358134 1680359219 1680360119 1680360899 1680362159 1680368159 1680368219,0.1268 0.2734 0.2748 0.2684 0.0792 0.2513 0.0000,1707 10569 10935 10950 11278 11453 11453,LETO _GDXzBchJ _LA3WZUny _4NBBlO8e _Tls89CzA _8BZ08mpa PONEN BCN OSPOK SUTAD_80 SALUN _PKxYHWoO METRU_30,1680358134 1680358079 1680358139 1680358259 1680358679 1680358859 1680359219 1680360119 1680360899 1680362159 1680368159 1680368219 1680368219,0.1268 0.1268 0.1418 0.1857 0.2388 0.2733 0.2734 0.2748 0.2684 0.0792 0.2513 0.0000 0.0000,1707 1707 2217 3757 7468 8565 10569 10935 10950 11278 11453 11453 11453
010109MSR861,METRU_30 POBUB NEVEK,1680375187 1680389459 1680389459,0.1643 0.0000 0.0000,10569 10119 10119,METRU_30 _rGAHevT7 POBUB NEVEK,1680375187 1680385919 1680389459 1680389459,0.1643 0.2088 0.0000 0.0000,10569 10592 10119 10119
01010AMSR729,LATMO_08 NIPIS BAVMA EVULA NORNO MOLFU IGORO IPIOS UUDD,1680341360 1680341279 1680347639 1680348479 1680350939 1680351959 1680352859 1680356279 1680356519,0.2090 0.2121 0.2251 0.2243 0.2366 0.2398 0.2393 0.0779 0.0000,10523 10523 10767 11041 10965 10950 10935 914 434,LATMO_08 _58kcfC7L NIPIS BAVMA EVULA NORNO MOLFU IGORO _QhpeJomd _mpk70cUh _XJkUiuRR IPIOS _mUq66M8C _b0rk4iUN UUDD,1680341360 1680341219 1680341279 1680347639 1680348479 1680350939 1680351959 1680352859 1680355139 1680355619 1680355979 1680356279 1680356399 1680356519 1680356519,0.2090 0.2090 0.2121 0.2251 0.2243 0.2366 0.2398 0.2393 0.1711 0.0934 0.1188 0.0779 0.0782 0.0000 0.0000,10523 10523 10523 10767 11041 10965 10950 10935 5639 3010 1951 914 869 434 434
01010AMSR730,UPERI UMUDU OPOKA NORNO_64 DUFES PERIM,1680362452 1680362639 1680365639 1680367859 1680370199 1680377279,0.1094 0.1425 0.2151 0.2262 0.2194 0.0000,610 2659 10630 10668 10904 12040,UPERI _ERYD4kVb UMUDU OPOKA NORNO_64 DUFES _w4uvoDft _8Dvd2JoB PERIM,1680362452 1680362519 1680362639 1680365639 1680367859 1680370199 1680375119 1680377279 1680377279,0.1094 0.1022 0.1425 0.2151 0.2262 0.2194 0.2396 0.0000 0.0000,610 1212 2659 10630 10668 10904 11354 12040 12040
01010BMSR727,LATMO_08 NIPIS ATFIR HATIP BOKSU IGORO SONUN,1680375185 1680375119 1680378779 1680382379 1680385019 1680386699 1680387059,0.2206 0.2198 0.2245 0.2397 0.2413 0.2418 0.0000,10554 10554 10371 10752 10676 10965 10973,LATMO_08 _9UUSMyFW NIPIS ATFIR _ZoR6boyP HATIP BOKSU _k1af16lu IGORO _14oaf8Gy SONUN,1680375185 1680375059 1680375119 1680378779 1680382259 1680382379 1680385019 1680386099 1680386699 1680387059 1680387059,0.2206 0.2206 0.2198 0.2245 0.2379 0.2397 0.2413 0.2437 0.2418 0.0000 0.0000,10554 10554 10554 10371 10752 10752 10676 10965 10965 10973 10973
01010BMSR845,TANSA_98 METRU DAAG,1680337067 1680337019 1680347339,0.2154 0.2092 0.0000,11171 11171 686,TANSA_98 _2lzmSCw6 METRU _nkJkV52E _i3BIQWWX _bWByfFtO _iOKKNWXv DAAG,1680337067 1680336899 1680337019 1680346139 1680346799 1680347099 1680347339 1680347339,0.2154 0.2154 0.2092 0.2012 0.1578 0.1329 0.0000 0.0000,11171 11171 11171 11765 4145 1646 686 686
01010BMSR846,ALR ABSET AMAXI_85,1680352488 1680352679 1680360479,0.0981 0.1664 0.0000,1113 2987 11491,ALR _Zgv9r9MB _JZ4PPMAM ABSET _FIeVKepU AMAXI_85,1680352488 1680352499 1680352559 1680352679 1680360479 1680360479,0.0981 0.0981 0.1230 0.1664 0.0000 0.0000,1113 1113 1570 2987 11491 11491
010117NIA191,RASDA SIVKU LTFJ,1680345330 1680348359 1680349859,0.1588 0.2142 0.0000,11742 11156 564,RASDA _I9GJKaYY _QuTkYd6Y SIVKU _bSQaumwp _JJGWYC0z _0KZIFJZd _Ase9XkkJ _nBRdpdUF _xfx3Zoye _j0e4hOuD LTFJ,1680345330 1680345359 1680345419 1680348359 1680349019 1680349139 1680349259 1680349379 1680349499 1680349679 1680349859 1680349859,0.1588 0.1588 0.2468 0.2142 0.2098 0.1979 0.1764 0.1457 0.1377 0.0936 0.0000 0.0000,11742 11742 11735 11156 7224 5913 4717 3840 2408 1135 564 564
010117NIA192,LTFJ BRY_99 TOMBI USEBE USEBE_94,1680355258 1680355799 1680357779 1680358739 1680358739,0.1211 0.2244 0.2456 0.0000 0.0000,648 6668 10798 10843 10843,LTFJ _d2O1NT9T _pBkfplTq BRY_99 TOMBI USEBE USEBE_94,1680355258 1680355319 1680355559 1680355799 1680357779 1680358739 1680358739,0.1211 0.1348 0.2000 0.2244 0.2456 0.0000 0.0000,648 1265 3985 6668 10798 10843 10843
01012BMSR785,NIPIS ABLOM_27 PEROX_60 GASKA ASKIK BOMBI_73,1680343972 1680351239 1680353099 1680353699 1680354839 1680354899,0.2264 0.2404 0.2389 0.1871 0.0369 0.0000,10523 11354 9929 5951 290 168,NIPIS ABLOM_27 PEROX_60 GASKA ASKIK BOMBI_73,1680343972 1680351239 1680353099 1680353699 1680354839 1680354899,0.2264 0.2404 0.2389 0.1871 0.0369 0.0000,10523 11354 9929 5951 290 168
01012BMSR786,BOMBI_73 MOVUM OLKAS GUDIS,1680365942 1680365939 1680366179 1680374879,0.0929 0.0929 0.1840 0.0000,564 564 3475 10843,BOMBI_73 MOVUM OLKAS _6WeH9c98 GUDIS,1680365942 1680365939 1680366179 1680374879 1680374879,0.0929 0.0929 0.1840 0.0000 0.0000,564 564 3475 10843 10843
01012BMSR996,DINUX NIBLO_26 METRU_30,1680309119 1680309239 1680313679,0.2982 0.2636 0.0000,11537 11537 11438,DINUX _b7AL1wFI NIBLO_26 _g51K3ds8 _MFEMIzvE _RaHON3Kp METRU_30,1680309119 1680309119 1680309239 1680313439 1680313619 1680313679 1680313679,0.2982 0.2982 0.2636 0.2644 0.2213 0.0000 0.0000,11537 11537 11537 11438 11438 11438 11438
